"Nivel 1","Nivel 2","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Áreas agrícolas","","4908.590904637925","4908.590904637925","3676.342650018388","3805.446255904655","3444.622076628641","3480.734978056403","4145.393630264421","4106.974028592055","4106.974028592055","4106.974028592055","4106.974028592055","3152.8459794767305","3603.3098704537815","4313.008931271815","4445.452514327821","5107.082739763596","5741.428378012708","5458.449168566864","5559.974145343957","5780.171447133095","6047.362206001392","5865.076325775555","5730.716204510007","5703.1909081811755","5813.897869054778","5614.3491166790745","5470.979961271475","5329.911345398909","5226.120897976454","5458.854165079386","5449.8728510428045","5174.349310702169","5014.6680585889335","5212.076404774408","5372.003054560384","5307.444718514593","5247.851323017433","5299.364868435646","5530.926504514827","5943.732102381307"
"Áreas agrícolas","Plantación forestal","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Áreas agrícolas","Uso pecuario/Tierras en descanso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Áreas agrícolas","Uso agrícola/Tierras en descanso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Áreas agrícolas","Uso agropecuario/Tierras en descanso","4908.590904637925","4908.590904637925","3676.342650018388","3805.446255904655","3444.622076628641","3480.734978056403","4145.393630264421","4106.974028592055","4106.974028592055","4106.974028592055","4106.974028592055","3152.8459794767305","3603.3098704537815","4313.008931271815","4445.452514327821","5107.082739763596","5741.428378012708","5458.449168566864","5559.974145343957","5780.171447133095","6047.362206001392","5865.076325775555","5730.716204510007","5703.1909081811755","5813.897869054778","5614.3491166790745","5470.979961271475","5329.911345398909","5226.120897976454","5458.854165079386","5449.8728510428045","5174.349310702169","5014.6680585889335","5212.076404774408","5372.003054560384","5307.444718514593","5247.851323017433","5299.364868435646","5530.926504514827","5943.732102381307"
"Áreas sin vegetación","","3925.8896232259253","3925.8896232259253","4018.7117895191914","4108.507037134614","4177.721213175552","4223.965995922757","4369.667479003139","4374.6364296979355","4374.6364296979355","4374.6364296979355","4374.6364296979355","4440.131929236291","4499.329158706915","4524.6877980229565","4549.267254929792","4609.460634452116","4632.123572910074","4656.64782120933","4676.991828819176","4694.25203771532","4719.321921705123","4747.271548507384","4776.662841436143","4810.387459774892","4834.800740211732","4857.712043063725","4884.7691361924435","4915.928406170396","4928.098762439672","4942.653895344735","4953.800289093065","4962.352788752895","4969.65000040266","4976.666979772342","4982.570457591951","4990.355355589471","4995.602426899067","5004.91727108986","5014.262928582254","5118.015753135029"
"Áreas sin vegetación","Playa o duna","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Áreas sin vegetación","Uso urbano","2448.0676798497398","2448.0676798497398","2534.932292973247","2627.151728535973","2698.8635273137284","2742.5275308821556","2893.8463679429155","2898.7666763621046","2898.7666763621046","2898.7666763621046","2898.7666763621046","2959.7750672006296","3021.1124651979835","3047.4775433090003","3071.2878331775246","3127.8924351501823","3153.0169911753737","3178.4532261189174","3199.272149781751","3216.4653143454284","3243.633012915381","3274.6629104987496","3302.655669707237","3337.440272199104","3361.000034079557","3383.0585754472945","3412.588917674561","3445.003407837749","3460.2795574238194","3476.2029209662815","3484.6673452116524","3492.3027868444265","3501.6033517251294","3509.395618256939","3513.3172775891176","3518.4157757955704","3526.2406341181304","3535.152283898141","3542.2308758211593","3638.2039047288526"
"Áreas sin vegetación","Otras áreas antrópicas sin vegetación","1469.821296885707","1469.821296885707","1475.7788500554657","1473.3546621081623","1470.7691191931228","1473.5257373733657","1467.820464569746","1467.8691068453522","1467.8691068453522","1467.8691068453522","1467.8691068453522","1472.2682952937187","1470.2160463409623","1469.121688722745","1469.8908557610564","1473.567552133965","1471.0180152918285","1470.1939479224434","1469.7190318694556","1469.6981573786804","1467.6003427985302","1464.5200719441812","1465.9186060367674","1464.8586212061591","1465.8000589642058","1466.6528204484612","1464.1795713499137","1463.0122706654108","1459.9064773486164","1458.5382467112172","1461.220216214176","1462.1372742412332","1460.133921010295","1459.3586338481664","1461.8679664835454","1463.9389329250048","1461.3611459120405","1461.7643403228228","1463.9434863182232","1471.8112015372797"
"Áreas sin vegetación","Uso Minero","8.00064649047852","8.00064649047852","8.00064649047852","8.00064649047852","8.088566668701175","7.912727667236331","8.00064649047852","8.00064649047852","8.00064649047852","8.00064649047852","8.00064649047852","8.088566741943362","8.000647167968753","8.08856599121094","8.08856599121094","8.000647167968753","8.088566442871096","8.000647167968753","8.000647167968753","8.08856599121094","8.08856599121094","8.08856606445313","8.088565692138676","8.088566369628909","8.000647167968753","8.000647167968753","8.000647167968753","7.912727667236331","7.912727667236331","7.912727667236331","7.912727667236331","7.912727667236331","7.912727667236331","7.912727667236331","7.385213519287112","8.000646868896489","8.000646868896489","8.000646868896489","8.088566442871098","8.000646868896489"
"Áreas sin vegetación","Otras áreas naturales sin vegetación","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cuerpos de agua","","532.5831987347044","532.5831987347044","527.3370178925392","546.4663157625795","510.8420840513456","531.2538198769","519.7123513810689","565.9527334599026","565.9527334599026","565.9527334599026","565.9527334599026","491.00320107086776","480.2318262013874","472.9993102638158","484.6999831612857","396.25191683055124","348.16128235475975","324.4074827743706","326.2395838004792","308.5623551444253","312.46990211605265","313.0084529999134","328.30758360605245","324.2039646439612","303.15456476270464","302.395231224389","298.2295443969006","290.31402219223907","285.8480146138028","287.12555933622434","281.5755921875955","278.4737184095432","289.58543182325144","294.365446182502","298.92550072885524","298.1572298664881","302.91048918990737","295.62470746845287","302.3368302794688","354.8634676753257"
"Cuerpos de agua","Acuicultura","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cuerpos de agua","Río, lago u océano","532.5831987347044","532.5831987347044","527.3370178925392","546.4663157625795","510.8420840513456","531.2538198769","519.7123513810689","565.9527334599026","565.9527334599026","565.9527334599026","565.9527334599026","491.00320107086776","480.2318262013874","472.9993102638158","484.6999831612857","396.25191683055124","348.16128235475975","324.4074827743706","326.2395838004792","308.5623551444253","312.46990211605265","313.0084529999134","328.30758360605245","324.2039646439612","303.15456476270464","302.395231224389","298.2295443969006","290.31402219223907","285.8480146138028","287.12555933622434","281.5755921875955","278.4737184095432","289.58543182325144","294.365446182502","298.92550072885524","298.1572298664881","302.91048918990737","295.62470746845287","302.3368302794688","354.8634676753257"
"Cuerpos de agua","Glaciar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No observado","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
