Nivel 2,1985,1999,2024,Cambio_Neto_ha,Cambio_Relativo_Porcentaje,Tasa_Anual_ha_ano
Bosque,101425.03710514112,97852.29472973057,96322.89787302844,-5102.139232112677,-5.030453404541131,-130.82408287468402
Manglar,0.0,0.0,0.0,0.0,,0.0
Sabana/Herbazal,3272.170224515243,5645.206121258268,5005.405331975131,1733.2351074598882,52.96897742282521,44.441925832304825
Arbustal,3162.3186949280853,4249.669147770177,4481.675222982506,1319.3565280544208,41.72117535688238,33.82965456549797
